最大物理内存块号：100
页面大小：10条指令
作业大小：320条指令
允许分配的内存块数：4

指令号 逻辑地址 逻辑页号 物理块号 物理地址 装入情况
44	76	7	 72	  726	   11	10	7	9	
45	76	7	 72	  726	   11	10	7	9	
46	72	7	 72	  722	   11	10	7	9	
47	45	4	 16	  165	   4	10	7	9	
48	47	4	 16	  167	   4	10	7	9	
49	45	4	 16	  165	   4	10	7	9	
50	39	3	 3	  39	   4	10	7	3	
51	43	4	 16	  163	   4	10	7	3	
52	44	4	 16	  164	   4	10	7	3	
53	100	10	 2	  20	   4	10	7	3	
54	97	9	 72	  727	   4	10	9	3	
55	98	9	 72	  728	   4	10	9	3	
56	100	10	 2	  20	   4	10	9	3	
57	111	11	 3	  31	   4	10	9	11	
58	114	11	 3	  34	   4	10	9	11	
59	114	11	 3	  34	   4	10	9	11	
60	117	11	 3	  37	   4	10	9	11	
61	119	11	 3	  39	   4	10	9	11	
62	242	24	 16	  162	   24	10	9	11	
63	240	24	 16	  160	   24	10	9	11	
64	238	23	 72	  728	   24	10	23	11	
65	9	0	 2	  29	   24	0	23	11	
66	4	0	 2	  24	   24	0	23	11	
67	6	0	 2	  26	   24	0	23	11	
68	9	0	 2	  29	   24	0	23	11	
69	4	0	 2	  24	   24	0	23	11	
70	132	13	 3	  32	   24	0	23	13	
71	162	16	 16	  162	   16	0	23	13	
72	167	16	 16	  167	   16	0	23	13	
73	165	16	 16	  165	   16	0	23	13	
74	161	16	 16	  161	   16	0	23	13	
75	11	1	 72	  721	   16	0	1	13	
76	45	4	 2	  25	   16	4	1	13	
77	45	4	 2	  25	   16	4	1	13	
78	43	4	 2	  23	   16	4	1	13	
79	296	29	 3	  36	   16	4	1	29	
80	301	30	 16	  161	   30	4	1	29	
81	301	30	 16	  161	   30	4	1	29	
82	305	30	 16	  165	   30	4	1	29	
83	295	29	 3	  35	   30	4	1	29	
84	297	29	 3	  37	   30	4	1	29	
85	98	9	 72	  728	   30	4	9	29	
86	96	9	 72	  726	   30	4	9	29	
87	58	5	 2	  28	   30	5	9	29	
88	53	5	 2	  23	   30	5	9	29	
89	59	5	 2	  29	   30	5	9	29	
90	55	5	 2	  25	   30	5	9	29	
91	52	5	 2	  22	   30	5	9	29	
92	57	5	 2	  27	   30	5	9	29	
93	228	22	 16	  168	   22	5	9	29	
94	229	22	 16	  169	   22	5	9	29	
95	226	22	 16	  166	   22	5	9	29	
96	229	22	 16	  169	   22	5	9	29	
97	229	22	 16	  169	   22	5	9	29	
98	221	22	 16	  161	   22	5	9	29	
99	111	11	 3	  31	   22	5	9	11	
100	112	11	 3	  32	   22	5	9	11	
101	115	11	 3	  35	   22	5	9	11	
